nim,email,password,name,gender,birthDate,phoneNumber,religion,studyProgram,classYear,skills
171511001,dummy1.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Afif Rana Muhammad,1,2000-01-01,+6288811112222,1,2,2017,"[""PHP""]"
171511002,dummy2.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alif Ramdani,1,2000-01-01,+6288811112222,1,2,2017,"[""C++"", ""JavaScript""]"
171511003,dummy3.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alifia Syalsabila,2,2000-01-01,+6288811112222,1,2,2017,"[""React Native""]"
171511004,dummy4.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alwan Assyauqi,1,2000-01-01,+6288811112222,1,2,2017,"[""Laravel"", ""Web development""]"
181511005,dummy5.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Andi Fauzy,1,2000-01-01,+6288811112222,1,1,2018,"[""Android software development"", ""CodeIgniter"", ""Flutter (software)""]"
181511006,dummy6.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Bening Promistya Anandita Qolbu,2,2000-01-01,+6288811112222,1,1,2018,"[""CodeIgniter"",""PHP""]"
161511007,dummy7.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Debora Eirene,2,2000-01-01,+6288811112222,2,2,2016,"[""Python (programming language)""]"
171511008,dummy8.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ersaad Gisda,1,2000-01-01,+6288811112222,1,1,2017,"[""Web development""]"
181511009,dummy9.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hafiz Muhammad,1,2000-01-01,+6288811112222,1,2,2018,"[""JQuery"", ""JavaScript""]"
161511010,dummy10.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hendra Permana,1,2000-01-01,+6288811112222,1,2,2016,"[""IOS development software""]"
181511011,dummy11.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hilmy Okto,1,2000-01-01,+6288811112222,1,1,2018,"[""Laravel""]"
181511012,ikhsan.setiawan.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ikhsan Setiawan,1,2000-01-01,+6288811112222,1,1,2018,"[""React Native""]"
161511013,dummy12.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ilham Robyana Sofyan,1,2000-01-01,+6288811112222,1,2,2016,"[""Swift (programming language)""]"
181511049,ivan.eka.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ivan Eka Putra,1,2000-01-01,+6288811112222,1,1,2018,"[""Web development"", ""Vue.js""]"
191511015,dummy13.tif19@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ummu Izzatul Kharimah,2,2000-01-01,+6288811112222,1,1,2019,"[""Phalcon (framework)""]"
171511016,dummy14.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Jays,1,2000-01-01,+6288811112222,1,1,2017,"[""Oracle Database""]"
181511017,dummy15.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Lisa,2,2000-01-01,+6288811112222,1,1,2018,"[""Swift (programming language)""]"
171511018,dummy16.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Lisnawati Srisunda,2,2000-01-01,+6288811112222,1,1,2017,"[""Web development"", ""Flutter (software)"", ""Mobile software development"", ""C (programming language)"", ""PHP"", ""HTML"", ""SQL"", ""CodeIgniter"", ""PostgreSQL""]"
171511019,dummy17.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,M Randi Noor,1,2000-01-01,+6288811112222,1,2,2017,"[""PHP"", ""Laravel""]"
161511020,dummy18.tif16@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Matin Majduddin Muhtadi,1,2000-01-01,+6288811112222,1,1,2016,"[""Java (programming language)""]"
171511021,dummy19.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Mumuh Kustino Muharam,1,2000-01-01,+6288811112222,1,2,2017,"[""Android software development""]"
181511022,dummy20.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nadia PD,2,2000-01-01,+6288811112222,1,1,2018,"[""Web development"", ""PHP""]"
181511023,dummy21.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Naufal Rajabi,1,2000-01-01,+6288811112222,1,2,2018,"[""MySQL"", ""SQL""]"
171511024,dummy22.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nikita Nabila,2,2000-01-01,+6288811112222,1,1,2017,"[""Unity (game engine)""]"
171511025,dummy23.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Norman Ibrahim S,1,2000-01-01,+6288811112222,1,1,2017,"[""JavaScript""]"
161511026,dummy24.tif16@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Novilawati,2,2000-01-01,+6288811112222,1,1,2016,"[""Python (programming language)""]"
151511027,dummy25.tif415@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nur Rohman,1,2000-01-01,+6288811112222,1,2,2015,"[""Microsoft Office""]"
171511028,dummy26.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Pega Kurniawan,1,2000-01-01,+6288811112222,1,1,2016,"[""CSS"", ""Bootstrap (front-end framework)""]"
151511029,dummy27.tif415@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Reka Alamsyah R.,1,2000-01-01,+6288811112222,1,2,2015,"[""HTML""]"
191511030,dummy28.tif419@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Reynaldy Rizky Saputra,1,2000-01-01,+6288811112222,1,2,2019,"[""Swift (programming language)""]"
181511031,dummy29.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Rezky Wahyuda Sitepu,1,2000-01-01,+6288811112222,1,1,2018,"[""Zend Framework""]"
181511064,rhio.adjie.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Rhio Adjie Fabian,1,2000-01-01,+6288811112222,1,1,2018,"[""Node.js"", ""JavaScript"", ""React Native"", ""PHP"", ""Laravel"", ""CodeIgniter"", ""Java (programming language)"", ""CSS"", ""HTML"", ""Flutter (software)"", ""C++"", ""C (programming language)"", ""Io (programming language)""]"
161511033,dummy30.tif16@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Rohmat Dasuki,1,2000-01-01,+6288811112222,1,1,2016,"[""React Native""]"
191511034,dummy31.tif19@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Muhammad Sakhi Hartanto,1,2000-01-01,+6288811112222,1,1,2019,"[""Go (programming language)""]"
191511035,dummy32.tif19@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Shofwan Ahmad Syihab,1,2000-01-01,+6288811112222,1,1,2019,"[""Visual Basic""]"
171511036,dummy33.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Velia Sagita,2,2000-01-01,+6288811112222,1,1,2017,"[""PHP"", ""Dart (programming language)""]"
171511037,dummy34.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Yoga Subagja,1,2000-01-01,+6288811112222,1,1,2017,"[""CSS""]"
181511038,dummy35.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Zara Veda Mahendra,2,2000-01-01,+6288811112222,1,2,2018,"[""C Sharp (programming language)""]"
181511039,kresna.bayu.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Kresna Bayu Sanyoto,1,2000-01-01,+6288811112222,1,1,2018,"[""Java (programming language)""]"
181511040,atthoriq.gerhana.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Atthoriq Gerhana Firdaus,1,2000-01-01,+6288811112222,1,1,2018,"[""Android software development"", ""Python (programming language)""]"
