user_id,email,password,name,gender,birthDate,phoneNumber,religion,studyProgram,classYear,skills
1,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Afif Rana Muhammad,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""PHP""]"
2,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alif Ramdani,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""C++"", ""JavaScript""]"
3,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alifia Syalsabila,2,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""React Native""]"
4,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alwan Assyauqi,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""Laravel"", ""Web development""]"
5,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Andi Fauzy,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Android software development"", ""CodeIgniter"", ""Flutter (software)""]"
6,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Bening Promistya Anandita Qolbu,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""CodeIgniter"",""PHP""]"
7,dummy.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Debora Eirene,2,2000-01-01,+6288811112222,2,D4 - Teknik Informatika,2016,"[""Python (programming language)""]"
8,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ersaad Gisda,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2017,"[""Web development""]"
9,dummy.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hafiz Muhammad,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2018,"[""JQuery"", ""JavaScript""]"
10,dummy.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hendra Permana,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2016,"[""IOS development software""]"
11,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hilmy Okto,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Laravel""]"
12,ikhsan.setiawan.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ikhsan Setiawan,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""React Native""]"
13,dummy.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ilham Robyana Sofyan,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2016,"[""Swift (programming language)""]"
14,ivan.eka.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ivan Eka Putra,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Web development"", ""Vue.js""]"
15,dummy.tif19@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ummu Izzatul Kharimah,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2019,"[""Phalcon (framework)""]"
16,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Jays,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2017,"[""Oracle Database""]"
17,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Lisa,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Swift (programming language)""]"
18,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Lisnawati Srisunda,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2017,"[""Web development"", ""Flutter (software)"", ""Mobile software development"", ""C (programming language)"", ""PHP"", ""HTML"", ""SQL"", ""CodeIgniter"", ""PostgreSQL""]"
19,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,M Randi Noor,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""PHP"", ""Laravel""]"
20,dummy.tif16@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Matin Majduddin Muhtadi,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2016,"[""Java (programming language)""]"
21,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Mumuh Kustino Muharam,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2017,"[""Android software development""]"
22,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nadia PD,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Web development"", ""PHP""]"
23,dummy.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Naufal Rajabi,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2018,"[""MySQL"", ""SQL""]"
24,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nikita Nabila,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2017,"[""Unity (game engine)""]"
25,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Norman Ibrahim S,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2017,"[""JavaScript""]"
26,dummy.tif16@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Novilawati,2,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2016,"[""Python (programming language)""]"
27,dummy.tif415@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Nur Rohman,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2015,"[""Microsoft Office""]"
28,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Pega Kurniawan,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2016,"[""CSS"", ""Bootstrap (front-end framework)""]"
29,dummy.tif415@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Reka Alamsyah R.,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2015,"[""HTML""]"
30,dummy.tif419@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Reynaldy Rizky Saputra,1,2000-01-01,+6288811112222,1,D4 - Teknik Informatika,2019,"[""Swift (programming language)""]"
31,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Rezky Wahyuda Sitepu,1,2000-01-01,+6288811112222,1,D3 - Teknik Informatika,2018,"[""Zend Framework""]"
